date,market,market_id,category,commodity,commodity_id,unit,priceflag,pricetype,currency,usdprice
15/10/2010,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.1
15/10/2010,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.62
15/10/2010,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,2.28
15/10/2010,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.38
15/10/2010,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,1.3
15/11/2010,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.87
15/11/2010,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.34
15/11/2010,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.67
15/11/2010,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.92
15/11/2010,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.52
15/11/2010,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.84
15/11/2010,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.74
15/11/2010,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.09
15/11/2010,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.58
15/11/2010,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.65
15/11/2010,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.41
15/12/2010,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.87
15/12/2010,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.26
15/12/2010,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.67
15/12/2010,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.6
15/12/2010,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.25
15/12/2010,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1.07
15/12/2010,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.09
15/12/2010,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.66
15/12/2010,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.19
15/12/2010,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.64
15/12/2010,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,2.23
15/12/2010,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.46
15/01/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.86
15/01/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.25
15/01/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.69
15/01/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.64
15/01/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.29
15/01/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.14
15/01/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.71
15/01/2011,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.29
15/01/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.65
15/01/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,2.31
15/01/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.52
15/02/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.86
15/02/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.24
15/02/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.71
15/02/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.97
15/02/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.84
15/02/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.21
15/02/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.71
15/02/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.36
15/02/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.3
15/03/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.69
15/03/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.61
15/03/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.22
15/03/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.84
15/03/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.88
15/03/2011,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.37
15/03/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.49
15/03/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.59
15/04/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.68
15/04/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.45
15/04/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,8.94
15/04/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.19
15/04/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.85
15/04/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2
15/04/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.14
15/04/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.87
15/04/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.76
15/04/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,0.55
15/04/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.51
15/04/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.36
15/04/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.84
15/05/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.69
15/05/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.71
15/05/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.63
15/05/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.21
15/05/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.23
15/05/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.85
15/05/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.05
15/05/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.27
15/05/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.94
15/05/2011,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.35
15/05/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.78
15/05/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,0.65
15/05/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.4
15/05/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.32
15/05/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.64
15/06/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.35
15/06/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.74
15/06/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.63
15/06/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.07
15/06/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.17
15/06/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.04
15/06/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.95
15/06/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.81
15/06/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,0.98
15/06/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.28
15/06/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.27
15/06/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.43
15/07/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.7
15/07/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.4
15/07/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.8
15/07/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.64
15/07/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.24
15/07/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.23
15/07/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.84
15/07/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.04
15/07/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.39
15/07/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.95
15/07/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.78
15/07/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.27
15/07/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.27
15/07/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.29
15/07/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.35
15/08/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.7
15/08/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.48
15/08/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.89
15/08/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.74
15/08/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.23
15/08/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.31
15/08/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.91
15/08/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.06
15/08/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.59
15/08/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.94
15/08/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.44
15/08/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.32
15/08/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.33
15/08/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.37
15/09/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.74
15/09/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.55
15/09/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.92
15/09/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.61
15/09/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1.03
15/09/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.87
15/09/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.93
15/09/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.66
15/09/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.58
15/09/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.4
15/09/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.5
15/10/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.77
15/10/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.57
15/10/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.84
15/10/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.74
15/10/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.92
15/10/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.35
15/10/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1.04
15/10/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.06
15/10/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.9
15/10/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.94
15/10/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.68
15/10/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.51
15/10/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.47
15/10/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.5
15/10/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.5
15/11/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.8
15/11/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.54
15/11/2011,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.79
15/11/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.74
15/11/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,10.02
15/11/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.34
15/11/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1.05
15/11/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.06
15/11/2011,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,1.96
15/11/2011,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.35
15/11/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.66
15/11/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.62
15/11/2011,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.47
15/11/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.48
15/11/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.57
15/12/2011,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.8
15/12/2011,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.47
15/12/2011,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.71
15/12/2011,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,10.03
15/12/2011,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.21
15/12/2011,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1.01
15/12/2011,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.04
15/12/2011,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.83
15/12/2011,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.69
15/12/2011,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.33
15/12/2011,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.47
15/12/2011,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.47
15/01/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.38
15/01/2012,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.71
15/01/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.78
15/01/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.2
15/01/2012,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.81
15/01/2012,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,1.95
15/01/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.97
15/01/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.74
15/01/2012,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.92
15/01/2012,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.32
15/01/2012,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.48
15/01/2012,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.38
15/01/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.36
15/02/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.33
15/02/2012,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.75
15/02/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.75
15/02/2012,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.67
15/02/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.59
15/02/2012,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.01
15/02/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,7.03
15/02/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.69
15/02/2012,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.14
15/02/2012,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.4
15/02/2012,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.35
15/02/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.4
15/03/2012,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.68
15/03/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.32
15/03/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.75
15/03/2012,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.67
15/03/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,3.03
15/03/2012,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,1
15/03/2012,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.34
15/03/2012,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,2.34
15/03/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.82
15/03/2012,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.82
15/03/2012,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,1.44
15/03/2012,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.4
15/03/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.41
15/04/2012,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.75
15/04/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.33
15/04/2012,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.99
15/04/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,6.92
15/04/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.77
15/04/2012,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,0.55
15/04/2012,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.43
15/04/2012,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.32
15/04/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.6
15/05/2012,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.67
15/05/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.32
15/05/2012,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.71
15/05/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.69
15/05/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.82
15/05/2012,National Average,226,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,0.9
15/05/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,7.17
15/05/2012,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,2.26
15/05/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.31
15/05/2012,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.34
15/05/2012,National Average,226,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,0.29
15/05/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.63
15/06/2012,National Average,226,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,0.72
15/06/2012,National Average,226,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,0.32
15/06/2012,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.72
15/06/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.77
15/06/2012,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.15
15/06/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,2.81
15/06/2012,National Average,226,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,2.08
15/06/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,5.46
15/06/2012,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,2.17
15/06/2012,National Average,226,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,1.84
15/06/2012,National Average,226,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,1.71
15/06/2012,National Average,226,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,0.62
15/06/2012,National Average,226,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,0.33
15/06/2012,National Average,226,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,0.41
15/07/2012,National Average,226,cereals and tubers,Rice,52,KG,actual,Retail,EGP,0.71
15/07/2012,National Average,226,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,0.73
15/07/2012,National Average,226,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,9.19
15/07/2012,National Average,226,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,3.28
15/07/2012,National Average,226,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,5.97
15/07/2012,National Average,226,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,2
