general_election_year,constituency_name,by_election_date,incumbent_mp_name,incumbent_elected_party_name,incumbent_final_party_name,winner_mp_name,winner_party_name,cause,cause_category,governing_outcome
1955,Carmarthen,1957-02-28,Rhys Hopkin Morris,Liberal Democrats,Liberal Democrats,Megan Lloyd George,Labour,Death,Death,Opposition Gain
1955,Warwick and Leamington,1957-03-07,Sir Anthony Eden,Conservative,Conservative,John Hobson,Conservative,Resignation due to ill health,Resignation,Government Defence
1955,Bristol West,1957-03-07,Walter Monckton,Conservative,Conservative,Robert Cooke,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Newcastle upon Tyne North,1957-03-21,Gwilym Lloyd George,Conservative,Conservative,William Elliott,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Beckenham,1957-03-21,Patrick Buchan-Hepburn,Conservative,Conservative,Philip Goodhart,Conservative,Elevation to a hereditary peerage,Peerage,Government Defence
1955,Edinburgh South,1957-05-29,Sir William Darling,Conservative,Conservative,Michael Hutchison,Conservative,Resignation,Resignation,Government Defence
1955,Hornsey,1957-05-30,Sir David Gammans,Conservative,Conservative,Lady Muriel Gammans,Conservative,Death,Death,Government Defence
1955,East Ham North,1957-05-30,Percy Daines,Labour,Labour,Reginald Prentice,Labour,Death,Death,Opposition Defence
1955,Dorset North,1957-06-27,Robert Crouch,Conservative,Conservative,Richard Glyn,Conservative,Death,Death,Government Defence
1955,Gloucester,1957-09-12,Moss Turner-Samuels,Labour,Labour,Jack Diamond,Labour,Death,Death,Opposition Defence
1955,Ipswich,1957-10-24,Richard Stokes,Labour,Labour,Dingle Foot,Labour,Death,Death,Opposition Defence
1955,Leicester South East,1957-11-28,Charles Waterhouse,Conservative,Conservative,John Peel,Conservative,Resignation,Resignation,Government Defence
1955,Liverpool Garston,1957-12-05,Sir Victor Raikes,Conservative,Conservative,Richard Bingham,Conservative,Resignation (dispute with party),Resignation,Government Defence
1955,Rochdale,1958-02-12,Wentworth Schofield,Conservative,Conservative,Jack McCann,Labour,Death,Death,Opposition Gain
1955,Glasgow Kelvingrove,1958-03-13,Walter Elliot,Conservative,Conservative,Mary McAlister,Labour,Death,Death,Opposition Gain
1955,Torrington,1958-03-27,George Lambert,Conservative,Conservative,Mark Bonham-Carter,Liberal Democrats,Succession to peerage,Peerage,Opposition Gain
1955,Islington North,1958-05-15,Wilfred Fienburgh,Labour,Labour,Gerald Reynolds,Labour,Death (road accident),Death,Opposition Defence
1955,St Helens,1958-06-12,Sir Hartley Shawcross,Labour,Labour,Leslie Spriggs,Labour,Resignation,Resignation,Opposition Defence
1955,Wigan,1958-06-12,Ronald Williams,Labour,Labour,Alan Fitch,Labour,Death,Death,Opposition Defence
1955,Argyll,1958-06-12,Sir Duncan McCallum,Conservative,Conservative,Michael Noble,Conservative,Death,Death,Government Defence
1955,Weston-Super-Mare,1958-06-12,Sir Ian Orr-Ewing,Conservative,Conservative,David Webster,Conservative,Death,Death,Government Defence
1955,Ealing South,1958-06-12,Angus Maude,Conservative,Conservative,Brian Batsford,Conservative,Resignation,Resignation,Government Defence
1955,Chichester,1958-11-06,Hon. Sir Lancelot Joynson-Hicks,Conservative,Conservative,Walter Loveys,Conservative,Succession to the peerage,Peerage,Government Defence
1955,Morecambe and Lonsdale,1958-11-06,Sir Ian Fraser,Conservative,Conservative,Basil de Ferranti,Conservative,Elevation to a life peerage,Peerage,Government Defence
1955,Pontypool,1958-11-10,Granville West,Labour,Labour,Leo Abse,Labour,Elevation to a life peerage,Peerage,Opposition Defence
1955,Aberdeenshire East,1958-11-20,Sir Robert Boothby,Conservative,Conservative,Patrick Wolrige-Gordon,Conservative,Elevation to a life peerage,Peerage,Government Defence
1955,Shoreditch and Finsbury,1958-11-27,Victor Collins,Labour,Labour,Michael Cliffe,Labour,Elevation to a life peerage,Peerage,Opposition Defence
1955,Southend West,1959-01-29,Sir Henry Channon,Conservative,Conservative,Paul Channon,Conservative,Death,Death,Government Defence
1955,Harrow East,1959-03-19,Ian Harvey,Conservative,Conservative,Anthony Courtney,Conservative,Resignation (scandal),Resignation,Government Defence
1955,Belfast East,1959-03-19,Alan McKibbin,Ulster Unionist Party,Ulster Unionist Party,Stanley McMaster,Ulster Unionist Party,Death,Death,Opposition Defence
1955,Norfolk South West,1959-03-25,Sidney Dye,Labour,Labour,Albert Hilton,Labour,Death (road accident),Death,Opposition Defence
1955,Galloway,1959-04-09,John Mackie,Conservative,Conservative,John Brewis,Conservative,Death,Death,Government Defence
1955,Penistone,1959-06-11,Henry McGhee,Labour,Labour,John Mendelson,Labour,Death,Death,Opposition Defence
1955,Whitehaven,1959-06-18,Frank Anderson,Labour,Labour,Joseph Symonds,Labour,Death,Death,Opposition Defence
1959,Harrow West,1960-03-17,Lewis John Edwards,Labour,Labour,Michael Shaw,Conservative,Death,Death,Government Gain
1959,Brighouse and Spenborough,1960-03-17,Sir Albert Braithwaite,Conservative,Conservative,John Page,Conservative,Death (suicide),Death,Government Defence
1959,Edinburgh North,1960-05-19,William Rankine Milligan,Conservative,Conservative,"John Montagu-Douglas-Scott, Earl of Dalkeith",Conservative,Appointment to Court of Session,Appointment,Government Defence
1959,Bedfordshire Mid,1960-11-16,Alan Lennox-Boyd,Conservative,Conservative,Stephen Hastings,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Carshalton,1960-11-16,Philip Bell,Conservative,Conservative,Edwin Taylor,Conservative,Appointment as County Court Judge,Appointment,Government Defence
1959,Bolton East,1960-11-16,Derick Heathcoat-Amory,Conservative,Conservative,Robin Maxwell-Hyslop,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Petersfield,1960-11-16,Christopher Holland-Martin,Conservative,Conservative,Jasper More,Conservative,Death,Death,Government Defence
1959,Tiverton,1960-11-16,Hon. Peter Legh,Conservative,Conservative,Joan Quennell,Conservative,Succession to peerage,Peerage,Government Defence
1959,Ludlow,1960-11-16,Antony Head,Conservative,Conservative,Walter Elliot,Conservative,Hereditary peerage on appointment as High Commissioner to Nigeria,Peerage,Government Defence
1959,Ebbw Vale,1960-11-17,Aneurin Bevan,Labour,Labour,Michael Foot,Labour,Death,Death,Opposition Defence
1959,Blyth,1960-11-24,Alfred Robens,Labour,Labour,Eddie Milne,Labour,Appointment as chairman of National Coal Board,Appointment,Opposition Defence
1959,High Peak,1961-03-16,Hugh Molson,Conservative,Conservative,David Walder,Conservative,Life peerage,Peerage,Government Defence
1959,Cambridgeshire,1961-03-16,Gerald Howard,Conservative,Conservative,Francis Pym,Conservative,Appointment as High Court Judge,Appointment,Government Defence
1959,Colchester,1961-03-16,Cuthbert Alport,Conservative,Conservative,Antony Buck,Conservative,Life peerage on appointment as High Commissioner to Rhodesia,Peerage,Government Defence
1959,Worcester,1961-03-16,George Ward,Conservative,Conservative,Peter Walker,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Birmingham Small Heath,1961-03-23,William Wheeldon,Labour,Labour,Denis Howell,Labour,Death,Death,Opposition Defence
1959,Paisley,1961-04-20,Douglas Johnston,Labour,Labour,John Robertson,Labour,Appointment to Court of Session,Appointment,Opposition Defence
1959,Warrington,1961-04-20,Dr Edith Summerskill,Labour,Labour,Thomas Williams,Labour,Life peerage,Peerage,Opposition Defence
1959,Bristol South East,1961-05-04,Tony Benn,Labour,Labour,Malcolm St Clair,Conservative,Succession to peerage,Peerage,Government Gain
1959,Manchester Moss Side,1961-11-07,James Watts,Conservative,Conservative,Frank Taylor,Conservative,Death,Death,Government Defence
1959,Oswestry,1961-11-09,David Ormsby-Gore,Conservative,Conservative,John Biffen,Conservative,Appointment as Ambassador to the United States,Appointment,Government Defence
1959,Fife East,1961-11-09,"Sir James Henderson-Stewart, Bt.",Conservative,Conservative,Sir John E. Gilmour,Conservative,Death,Death,Government Defence
1959,Glasgow Bridgeton,1961-11-16,James Carmichael,Labour,Labour,James Bennett,Labour,Resignation (ill-health?),Resignation,Opposition Defence
1959,Lincoln,1962-03-08,Geoffrey de Freitas,Labour,Labour,Dick Taverne,Labour,Appointed as High Commissioner to Ghana,Appointment,Opposition Defence
1959,Blackpool North,1962-03-13,Toby Low,Conservative,Conservative,Norman Miscampbell,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Orpington,1962-03-14,Donald Sumner,Conservative,Conservative,Eric Lubbock,Liberal Democrats,Appointment as County Court Judge,Appointment,Opposition Gain
1959,Middlesbrough East,1962-03-14,Hilary Marquand,Labour,Labour,Arthur Bottomley,Labour,"Appointment as director of International Institute for Labour Studies, Geneva",Appointment,Opposition Defence
1959,Pontefract,1962-03-22,George Sylvester,Labour,Labour,Joseph Harper,Labour,Death,Death,Opposition Defence
1959,Stockton-on-Tees,1962-04-05,George Chetwynd,Labour,Labour,Bill Rodgers,Labour,Appointment as director of North-East Development Council,Appointment,Opposition Defence
1959,Derby North,1962-04-17,Clifford Wilcock,Labour,Labour,Niall MacDermot,Labour,Death,Death,Opposition Defence
1959,Montgomery,1962-05-15,Clement Davies,Liberal Democrats,Liberal Democrats,Emlyn Hooson,Liberal Democrats,Death,Death,Opposition Defence
1959,Middlesbrough West,1962-06-06,Edward Wakefield,Conservative,Conservative,Aidan Crawley,Conservative,Appointment as Commissioner for Malta,Appointment,Government Defence
1959,Derbyshire West,1962-06-06,Sir Jocelyn Simon,Conservative,Conservative,Jeremy Bray,Labour,Appointment as President of Probate Division of the High Court,Appointment,Opposition Gain
1959,West Lothian,1962-06-14,John Taylor,Labour,Labour,Tam Dalyell,Labour,Death,Death,Opposition Defence
1959,Leicester North East,1962-07-12,Sir Lynn Ungoed-Thomas,Labour,Labour,Tom Bradley,Labour,Appointment as High Court Judge,Appointment,Opposition Defence
1959,Chippenham,1962-11-22,David Eccles,Conservative,Conservative,Daniel Awdry,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Dorset South,1962-11-22,Sir Reginald Manningham-Buller,Conservative,Conservative,Arthur Jones,Conservative,Hereditary peerage on appointment as Lord High Chancellor of Great Britain,Peerage,Government Defence
1959,Glasgow Woodside,1962-11-22,Richard Collard,Conservative,Conservative,Ian Gilmour,Conservative,Death,Death,Government Defence
1959,Glasgow Woodside,1962-11-22,William Grant,Conservative,Conservative,Neil Carmichael,Labour,Appointment as Lord Justice Clerk,Appointment,Opposition Gain
1959,Norfolk Central,1962-11-22,Viscount Hinchingbrooke,Conservative,Conservative,Guy Barnett,Labour,Succession to peerage,Peerage,Opposition Gain
1959,Colne Valley,1963-03-21,Glenvil Hall,Labour,Labour,Patrick Duffy,Labour,Death,Death,Opposition Defence
1959,Rotherham,1963-03-28,Jack Jones,Labour,Labour,Brian O'Malley,Labour,Death (road accident),Death,Opposition Defence
1959,Swansea East,1963-03-28,David Mort,Labour,Labour,Neil McBride,Labour,Death,Death,Opposition Defence
1959,Leeds South,1963-06-20,Hugh Gaitskell,Labour,Labour,Merlyn Rees,Labour,Death,Death,Opposition Defence
1959,Deptford,1963-07-04,Sir Leslie Plummer,Labour,Labour,John Silkin,Labour,Death,Death,Opposition Defence
1959,West Bromwich,1963-07-04,John Dugdale,Labour,Labour,Maurice Foley,Labour,Death,Death,Opposition Defence
1959,Stratford-on-Avon,1963-08-15,John Profumo,Conservative,Conservative,Angus Maude,Conservative,Resignation (lying to the House of Commons),Resignation,Government Defence
1959,Bristol South East,1963-08-20,Malcolm St Clair,Conservative,Conservative,Tony Benn,Labour,Resignation,Resignation,Opposition Gain
1959,Belfast South,1963-10-22,Sir David Campbell,Ulster Unionist Party,Ulster Unionist Party,Rafton Pounder,Ulster Unionist Party,Death,Death,Opposition Defence
1959,Kinross and West Perthshire,1963-11-07,Gilmour Leburn,Conservative,Conservative,Sir Alec Douglas-Home,Conservative,Death,Death,Government Defence
1959,Luton,1963-11-07,Dr. Charles Hill,Conservative,Conservative,Will Howie,Labour,Life peerage on appointment as chairman of Independent Television Authority,Peerage,Opposition Gain
1959,Dundee West,1963-11-21,John Strachey,Labour,Labour,Peter Doig,Labour,Death,Death,Opposition Defence
1959,Manchester Openshaw,1963-12-05,William Williams,Labour,Labour,Charles Morris,Labour,Death,Death,Opposition Defence
1959,St Marylebone,1963-12-05,Sir Wavell Wakefield,Conservative,Conservative,Quintin Hogg,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Sudbury and Woodbridge,1963-12-05,John Hare,Conservative,Conservative,Keith Stainton,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Dumfries,1963-12-12,Niall MacPherson,Conservative,Conservative,David Anderson,Conservative,Hereditary peerage,Peerage,Government Defence
1959,Winchester,1964-05-14,Richard Brooman-White,Conservative,Conservative,Gregor Mackenzie,Labour,Death,Death,Opposition Gain
1959,Rutherglen,1964-05-14,Peter Smithers,Conservative,Conservative,Morgan Morgan-Giles,Conservative,Appointment as Secretary-General of Council of Europe,Appointment,Government Defence
1959,Devizes,1964-05-14,Percivall Pott,Conservative,Conservative,Charles Morrison,Conservative,Death,Death,Government Defence
1959,Bury St Edmunds,1964-05-14,Sir William Aitken,Conservative,Conservative,Eldon Griffiths,Conservative,Death,Death,Government Defence
1959,Faversham,1964-06-04,Percy Wells,Labour,Labour,Terence Boston,Labour,Death,Death,Opposition Defence
1959,Liverpool Scotland,1964-06-11,David Logan,Labour,Labour,Walter Alldritt,Labour,Death,Death,Opposition Defence
1964,Leyton,1965-01-21,Frank Bowles,Labour,Labour,Frank Cousins,Labour,Life peerage to provide seat for Minister of Technology Frank Cousins,Peerage,Government Defence
1964,Nuneaton,1965-01-21,Reg Sorensen,Labour,Labour,Ronald Buxton,Conservative,Life peerage to provide seat for Foreign Secretary Patrick Gordon Walker,Peerage,Opposition Gain
1964,Salisbury,1965-02-04,John Morrison,Conservative,Conservative,Michael Hamilton,Conservative,Hereditary peerage,Peerage,Opposition Defence
1964,East Grinstead,1965-02-04,Evelyn Emmet,Conservative,Conservative,Geoffrey Johnson Smith,Conservative,Life peerage,Peerage,Opposition Defence
1964,Altrincham and Sale,1965-02-04,Fred Erroll,Conservative,Conservative,Anthony Barber,Conservative,Hereditary peerage,Peerage,Opposition Defence
1964,Saffron Walden,1965-03-23,R. A. Butler,Conservative,Conservative,Peter Kirk,Conservative,Life peerage,Peerage,Opposition Defence
1964,"Roxburgh, Selkirk and Peebles",1965-03-24,Charles Donaldson,Conservative,Conservative,David Steel,Liberal Democrats,Death,Death,Opposition Gain
1964,Abertillery,1965-04-01,Llywelyn Williams,Labour,Labour,Clifford Williams,Labour,Death,Death,Government Defence
1964,Birmingham Hall Green,1965-05-06,Aubrey Jones,Conservative,Conservative,Reginald Eyre,Conservative,Appointment as chairman of National Board for Prices and Incomes,Appointment,Opposition Defence
1964,Hove,1965-07-22,Anthony Marlowe,Conservative,Conservative,Martin Maddan,Conservative,Resignation (ill-health),Resignation,Opposition Defence
1964,Cities of London and Westminster,1965-11-04,Sir Harry Hylton-Foster,Speaker,Speaker,John Smith,Conservative,Death,Death,Opposition Gain
1964,Erith and Crayford,1965-11-11,Norman Dodds,Labour,Labour,James Wellbeloved,Labour,Death,Death,Government Defence
1964,Hull North,1966-01-27,Henry Solomons,Labour,Labour,Kevin McNamara,Labour,Death,Death,Government Defence
1966,Carmarthen,1966-07-14,Megan Lloyd George,Labour,Labour,Gwynfor Evans,Plaid Cymru,Death,Death,Opposition Gain
1966,Glasgow Pollok,1967-03-09,Iorwerth Thomas,Labour,Labour,Alec Jones,Labour,Death,Death,Government Defence
1966,Rhondda West,1967-03-09,Frank Cousins,Labour,Labour,Leslie Huckfield,Labour,Resignation,Resignation,Government Defence
1966,Nuneaton,1967-03-09,Alexander Garrow,Labour,Labour,Esmond Wright,Conservative,Death,Death,Opposition Gain
1966,Honiton,1967-03-16,Robert Mathew,Conservative,Conservative,Peter Emery,Conservative,Death,Death,Opposition Defence
1966,Brierley Hill,1967-04-27,John Talbot,Conservative,Conservative,Fergus Montgomery,Conservative,Death,Death,Opposition Defence
1966,Cambridge,1967-09-21,Robert Davies,Labour,Labour,David Lane,Conservative,Death,Death,Opposition Gain
1966,Walthamstow West,1967-09-21,Edward Redhead,Labour,Labour,Frederick Silvester,Conservative,Death,Death,Opposition Gain
1966,Hamilton,1967-11-02,Konni Zilliacus,Labour,Labour,Kenneth Marks,Labour,Death,Death,Government Defence
1966,Manchester Gorton,1967-11-02,Thomas Fraser,Labour,Labour,Winifred Ewing,SNP,Appointment to North Scotland Hydro-Electricity Board,Appointment,Opposition Gain
1966,Leicester South West,1967-11-02,Herbert Bowden,Labour,Labour,Thomas Boardman,Conservative,Appointment as chairman of Independent Television Authority,Appointment,Opposition Gain
1966,Derbyshire West,1967-11-23,Aidan Crawley,Conservative,Conservative,James Scott-Hopkins,Conservative,Appointment as chairman of London Weekend Television,Resignation,Opposition Defence
1966,Kensington South,1968-03-14,William Roots,Conservative,Conservative,Sir Brandon Rhys Williams,Conservative,Resignation (ill-health?),Resignation,Opposition Defence
1966,Warwick and Leamington,1968-03-28,Bernard Floud,Labour,Labour,Kenneth Baker,Conservative,Death (suicide),Death,Opposition Gain
1966,Meriden,1968-03-28,George Wigg,Labour,Labour,Donald Williams,Conservative,Life peerage on appointment as chairman of Horserace Betting Levy Board,Peerage,Opposition Gain
1966,Acton,1968-03-28,Christopher Rowland,Labour,Labour,Keith Speed,Conservative,Death,Death,Opposition Gain
1966,Dudley,1968-03-28,John Hobson,Conservative,Conservative,Dudley Smith,Conservative,Death,Death,Opposition Defence
1966,Oldham West,1968-06-13,Richard Winterbottom,Labour,Labour,Edward Griffiths,Labour,Death,Death,Government Defence
1966,Sheffield Brightside,1968-06-13,Leslie Hale,Labour,Labour,Bruce Campbell,Conservative,Resignation,Resignation,Opposition Gain
1966,Nelson and Colne,1968-06-27,Sydney Silverman,Labour,Labour,David Waddington,Conservative,Death,Death,Opposition Gain
1966,Caerphilly,1968-07-18,Ness Edwards,Labour,Labour,Alfred Evans,Labour,Death,Death,Government Defence
1966,Bassetlaw,1968-10-31,Frederick Bellenger,Labour,Labour,Joseph Ashton,Labour,Death,Death,Government Defence
1966,New Forest,1968-11-07,Oliver Crosthwaite-Eyre,Conservative,Conservative,Patrick McNair-Wilson,Conservative,Resignation,Resignation,Opposition Defence
1966,Brighton Pavilion,1969-03-27,Sir William Teeling,Conservative,Conservative,Julian Amery,Conservative,Resignation,Resignation,Opposition Defence
1966,Weston-Super-Mare,1969-03-27,William Robinson,Labour,Labour,Michael McNair-Wilson,Conservative,Death,Death,Opposition Gain
1966,Walthamstow East,1969-03-27,David Webster,Conservative,Conservative,Jerry Wiggin,Conservative,Death,Death,Opposition Defence
1966,Ulster Mid,1969-04-17,George Forrest,Ulster Unionist Party,Ulster Unionist Party,Bernadette Devlin,Unity,Death,Death,Opposition Gain
1966,Chichester,1969-05-22,Walter Loveys,Conservative,Conservative,Christopher Chataway,Conservative,Death,Death,Opposition Defence
1966,Birmingham Ladywood,1969-06-26,Victor Yates,Labour,Labour,Wallace Lawler,Liberal Democrats,Death,Death,Opposition Gain
1966,Islington North,1969-10-30,Gerald Reynolds,Labour,Labour,Michael O'Halloran,Labour,Death,Death,Government Defence
1966,Newcastle-under-Lyme,1969-10-30,Stephen Swingler,Labour,Labour,John Golding,Labour,Death,Death,Government Defence
1966,Swindon,1969-10-30,Francis Noel-Baker,Labour,Labour,Christopher Ward,Conservative,Resignation,Resignation,Opposition Gain
1966,Glasgow Gorbals,1969-10-30,Alice Cullen,Labour,Labour,Frank McElhone,Labour,Death,Death,Government Defence
1966,Paddington North,1969-10-30,Ben Parkin,Labour,Labour,Arthur Latham,Labour,Death,Death,Government Defence
1966,Wellingborough,1969-12-04,Harry Howarth,Labour,Labour,Peter Fry,Conservative,Death,Death,Opposition Gain
1966,Louth,1969-12-04,Sir Cyril Osborne,Conservative,Conservative,Jeffrey Archer,Conservative,Death,Death,Opposition Defence
1966,Bridgwater,1970-03-12,Gerald Wills,Conservative,Conservative,Tom King,Conservative,Death,Death,Opposition Defence
1966,Ayrshire South,1970-03-19,Emrys Hughes,Labour,Labour,James Sillars,Labour,Death,Death,Government Defence
1970,St Marylebone,1970-10-22,Quintin Hogg,Conservative,Conservative,Kenneth Baker,Conservative,Life peerage on appointment as Lord High Chancellor of Great Britain,Peerage,Government Defence
1970,Enfield West,1970-11-19,Iain Macleod,Conservative,Conservative,Cecil Parkinson,Conservative,Death,Death,Government Defence
1970,Liverpool Scotland,1971-04-01,Walter Alldritt,Labour,Labour,Frank Marsden,Labour,Resignation,Resignation,Opposition Defence
1970,Arundel and Shoreham,1971-04-01,Henry Kerby,Conservative,Conservative,Richard Luce,Conservative,Death,Death,Government Defence
1970,Goole,1971-05-27,James Dance,Conservative,Conservative,Terry Davis,Labour,Death,Death,Opposition Gain
1970,Southampton Itchen,1971-05-27,Horace King,Speaker,Speaker,Bob Mitchell,Labour,Life peerage,Peerage,Opposition Gain
1970,Bromsgrove,1971-05-27,George Jeger,Labour,Labour,Edmund Marshall,Labour,Death,Death,Opposition Defence
1970,Hayes and Harlington,1971-06-17,Arthur Skeffington,Labour,Labour,Neville Sandelson,Labour,Death,Death,Opposition Defence
1970,Greenwich,1971-07-08,Richard Marsh,Labour,Labour,Guy Barnett,Labour,Chairman of British Rail,Appointment,Opposition Defence
1970,Stirling and Falkirk,1971-09-16,Malcolm Macpherson,Labour,Labour,Harry Ewing,Labour,Death,Death,Opposition Defence
1970,Widnes,1971-09-23,James MacColl,Labour,Labour,Gordon Oakes,Labour,Death,Death,Opposition Defence
1970,Macclesfield,1971-09-30,Sir Arthur Vere Harvey,Conservative,Conservative,Nicholas Winterton,Conservative,Life peerage,Peerage,Government Defence
1970,Merthyr Tydfil,1972-04-13,S. O. Davies,Independent,Independent,Edward Rowlands,Labour,Death,Death,Opposition Gain
1970,Kingston upon Thames,1972-05-04,John Boyd-Carpenter,Conservative,Conservative,Norman Lamont,Conservative,Chairman of Civil Aviation Authority,Appointment,Government Defence
1970,Southwark,1972-05-04,Ray Gunter,Labour,Independent,Harry Lamborn,Labour,Resignation (dispute with party),Resignation,Opposition Defence
1970,Rochdale,1972-10-26,Jack McCann,Labour,Labour,Cyril Smith,Liberal Democrats,Death,Death,Opposition Gain
1970,Uxbridge,1972-12-07,Richard Sharples,Conservative,Conservative,Graham Tope,Liberal Democrats,Governor of Bermuda,Appointment,Opposition Gain
1970,Sutton and Cheam,1972-12-07,Charles Curran,Conservative,Conservative,Michael Shersby,Conservative,Death,Death,Government Defence
1970,Chester-le-Street,1973-03-01,Norman Pentland,Labour,Labour,Giles Radice,Labour,Death,Death,Opposition Defence
1970,Dundee East,1973-03-01,Dick Taverne,Labour,Independent,Dick Taverne,Democratic Labour,Sought re-election upon change of party allegiance,Reelection,Opposition Gain
1970,Lincoln,1973-03-01,George Thomson,Labour,Labour,George Machin,Labour,Appointment as European Commissioner,Appointment,Opposition Defence
1970,West Bromwich,1973-05-24,Maurice Foley,Labour,Labour,Betty Boothroyd,Labour,Appointment to the European Commission staff,Appointment,Opposition Defence
1970,Westhoughton,1973-05-24,Tom Price,Labour,Labour,Roger Stott,Labour,Death,Death,Opposition Defence
1970,Manchester Exchange,1973-06-27,William Griffiths,Labour,Labour,Frank Hatton,Labour,Death,Death,Opposition Defence
1970,Isle of Ely,1973-07-26,Malcolm Stoddart-Scott,Conservative,Conservative,David Austick,Liberal Democrats,Death,Death,Opposition Gain
1970,Ripon,1973-07-26,Harry Legge-Bourke,Conservative,Conservative,Clement Freud,Liberal Democrats,Death,Death,Opposition Gain
1970,Hove,1973-11-08,Earl of Dalkeith,Conservative,Conservative,Alexander Fletcher,Conservative,Succession to the Peerage,Peerage,Government Defence
1970,Glasgow Govan,1973-11-08,John Rankin,Labour,Labour,Margo MacDonald,SNP,Death,Death,Opposition Gain
1970,Edinburgh North,1973-11-08,Antony Lambton,Conservative,Conservative,Alan Beith,Liberal Democrats,Resignation (scandal),Resignation,Opposition Gain
1970,Berwick-upon-Tweed,1973-11-08,Martin Maddan,Conservative,Conservative,Timothy Sainsbury,Conservative,Death,Death,Government Defence
1974,Newham South,1974-05-23,Sir Elwyn Jones,Labour,Labour,Nigel Spearing,Labour,Life peerage on appointment as Lord High Chancellor of Great Britain,Peerage,Government Defence
1975,Woolwich West,1975-06-26,William Hamling,Labour,Labour,Peter Bottomley,Conservative,Death,Death,Opposition Gain
1975,Coventry North West,1976-03-04,Maurice Edelman,Labour,Labour,Geoffrey Robinson,Labour,Death,Death,Government Defence
1975,Wirral,1976-03-11,Selwyn Lloyd,Speaker,Speaker,David Hunt,Conservative,Life peerage,Peerage,Opposition Gain
1975,Carshalton,1976-03-11,Robert Carr,Conservative,Conservative,Nigel Forman,Conservative,Life peerage,Peerage,Opposition Defence
1975,Rotherham,1976-06-24,Brian O'Malley,Labour,Labour,Stanley Crowther,Labour,Death,Death,Government Defence
1975,Thurrock,1976-07-15,Hugh Delargy,Labour,Labour,Oonagh McDonald,Labour,Death,Death,Government Defence
1975,Workington,1976-11-04,Fred Peart,Labour,Labour,Richard Page,Conservative,Life peerage on appointment as Leader of the House of Lords,Peerage,Opposition Gain
